Company A: {depot 0, nativeProductStock=46, externalProductStock1=5, externalProductStock2=38, productPrice=2, deliveryPrice=1, budget=68}
Company A: {depot 1, nativeProductStock=21, externalProductStock1=34, externalProductStock2=36, productPrice=5, deliveryPrice=6, budget=51}
Company A: {depot 2, nativeProductStock=28, externalProductStock1=25, externalProductStock2=30, productPrice=6, deliveryPrice=4, budget=58}
Company A: {depot 3, nativeProductStock=43, externalProductStock1=18, externalProductStock2=40, productPrice=3, deliveryPrice=5, budget=56}
Company A: {depot 4, nativeProductStock=47, externalProductStock1=31, externalProductStock2=30, productPrice=6, deliveryPrice=6, budget=53}
Company A: {depot 5, nativeProductStock=17, externalProductStock1=35, externalProductStock2=5, productPrice=6, deliveryPrice=7, budget=94}
Company A: {depot 6, nativeProductStock=27, externalProductStock1=8, externalProductStock2=30, productPrice=6, deliveryPrice=7, budget=79}
Company A: {depot 7, nativeProductStock=35, externalProductStock1=29, externalProductStock2=5, productPrice=6, deliveryPrice=9, budget=79}
Company A: {depot 8, nativeProductStock=45, externalProductStock1=10, externalProductStock2=17, productPrice=4, deliveryPrice=9, budget=87}
Company A: {depot 9, nativeProductStock=20, externalProductStock1=18, externalProductStock2=11, productPrice=5, deliveryPrice=3, budget=96}
Company A: {depot 10, nativeProductStock=20, externalProductStock1=5, externalProductStock2=36, productPrice=3, deliveryPrice=3, budget=78}
Company A: {depot 11, nativeProductStock=17, externalProductStock1=12, externalProductStock2=31, productPrice=8, deliveryPrice=9, budget=85}
Company A: {depot 12, nativeProductStock=43, externalProductStock1=35, externalProductStock2=11, productPrice=7, deliveryPrice=5, budget=71}
Company A: {depot 13, nativeProductStock=45, externalProductStock1=17, externalProductStock2=3, productPrice=6, deliveryPrice=4, budget=64}
Company A: {depot 14, nativeProductStock=45, externalProductStock1=7, externalProductStock2=12, productPrice=1, deliveryPrice=7, budget=66}
Company A: {depot 15, nativeProductStock=50, externalProductStock1=10, externalProductStock2=21, productPrice=4, deliveryPrice=8, budget=69}
Company A: {depot 16, nativeProductStock=40, externalProductStock1=39, externalProductStock2=29, productPrice=10, deliveryPrice=1, budget=62}
Company A: {depot 17, nativeProductStock=29, externalProductStock1=8, externalProductStock2=17, productPrice=10, deliveryPrice=1, budget=93}
Company A: {depot 18, nativeProductStock=38, externalProductStock1=18, externalProductStock2=40, productPrice=3, deliveryPrice=1, budget=73}
Company A: {depot 19, nativeProductStock=46, externalProductStock1=16, externalProductStock2=23, productPrice=4, deliveryPrice=7, budget=63}
Company A: {depot 20, nativeProductStock=27, externalProductStock1=30, externalProductStock2=21, productPrice=5, deliveryPrice=2, budget=71}
Company A: {depot 21, nativeProductStock=47, externalProductStock1=9, externalProductStock2=18, productPrice=3, deliveryPrice=2, budget=66}
Company A: {depot 22, nativeProductStock=22, externalProductStock1=3, externalProductStock2=31, productPrice=5, deliveryPrice=6, budget=61}
Company A: {depot 23, nativeProductStock=49, externalProductStock1=4, externalProductStock2=28, productPrice=7, deliveryPrice=4, budget=57}
Company A: {depot 24, nativeProductStock=24, externalProductStock1=4, externalProductStock2=17, productPrice=9, deliveryPrice=6, budget=63}
Company A: {depot 25, nativeProductStock=36, externalProductStock1=4, externalProductStock2=8, productPrice=9, deliveryPrice=3, budget=79}
Company A: {depot 26, nativeProductStock=22, externalProductStock1=19, externalProductStock2=36, productPrice=2, deliveryPrice=8, budget=58}
Company A: {depot 27, nativeProductStock=20, externalProductStock1=15, externalProductStock2=27, productPrice=6, deliveryPrice=10, budget=57}
Company A: {depot 28, nativeProductStock=18, externalProductStock1=30, externalProductStock2=29, productPrice=2, deliveryPrice=7, budget=82}
Company A: {depot 29, nativeProductStock=43, externalProductStock1=32, externalProductStock2=6, productPrice=1, deliveryPrice=10, budget=90}
Company A: {depot 30, nativeProductStock=20, externalProductStock1=30, externalProductStock2=3, productPrice=10, deliveryPrice=1, budget=53}
Company A: {depot 31, nativeProductStock=17, externalProductStock1=13, externalProductStock2=26, productPrice=9, deliveryPrice=3, budget=78}
Company A: {depot 32, nativeProductStock=50, externalProductStock1=11, externalProductStock2=32, productPrice=9, deliveryPrice=9, budget=50}
Company A: {depot 33, nativeProductStock=29, externalProductStock1=39, externalProductStock2=8, productPrice=10, deliveryPrice=7, budget=70}
Company A: {depot 34, nativeProductStock=16, externalProductStock1=28, externalProductStock2=14, productPrice=3, deliveryPrice=3, budget=93}
Company A: {depot 35, nativeProductStock=50, externalProductStock1=33, externalProductStock2=37, productPrice=3, deliveryPrice=1, budget=84}
Company A: {depot 36, nativeProductStock=43, externalProductStock1=23, externalProductStock2=11, productPrice=5, deliveryPrice=1, budget=77}
Company A: {depot 37, nativeProductStock=44, externalProductStock1=5, externalProductStock2=5, productPrice=6, deliveryPrice=9, budget=91}
Company A: {depot 38, nativeProductStock=19, externalProductStock1=36, externalProductStock2=5, productPrice=3, deliveryPrice=8, budget=72}
Company A: {depot 39, nativeProductStock=30, externalProductStock1=6, externalProductStock2=33, productPrice=8, deliveryPrice=3, budget=67}
Company A: {depot 40, nativeProductStock=38, externalProductStock1=29, externalProductStock2=32, productPrice=3, deliveryPrice=2, budget=64}
Company A: {depot 41, nativeProductStock=43, externalProductStock1=24, externalProductStock2=4, productPrice=1, deliveryPrice=10, budget=78}
Company A: {depot 42, nativeProductStock=22, externalProductStock1=34, externalProductStock2=5, productPrice=4, deliveryPrice=3, budget=63}
Company A: {depot 43, nativeProductStock=46, externalProductStock1=7, externalProductStock2=14, productPrice=7, deliveryPrice=6, budget=67}
Company A: {depot 44, nativeProductStock=48, externalProductStock1=8, externalProductStock2=13, productPrice=4, deliveryPrice=3, budget=98}
Company A: {depot 45, nativeProductStock=17, externalProductStock1=14, externalProductStock2=7, productPrice=9, deliveryPrice=2, budget=67}
Company A: {depot 46, nativeProductStock=45, externalProductStock1=14, externalProductStock2=34, productPrice=8, deliveryPrice=10, budget=68}
Company A: {depot 47, nativeProductStock=27, externalProductStock1=6, externalProductStock2=33, productPrice=10, deliveryPrice=5, budget=84}
Company A: {depot 48, nativeProductStock=28, externalProductStock1=10, externalProductStock2=8, productPrice=10, deliveryPrice=5, budget=76}
Company A: {depot 49, nativeProductStock=50, externalProductStock1=26, externalProductStock2=34, productPrice=5, deliveryPrice=5, budget=97}
